StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,FMSY,RecruitmentLength,FLim,MSYBtrigger,Fmanagement,Bmanagement,Fpa,FLength,Fcap,confidenceIntervalDefinition
alf.27.nea,2020,13474,2597,169048,,,,,,,,,,,,,,NA
ane.27.8,2020,14048,2598,169051,21000,1,2+,,,,,,,,,,,90%
ane.27.9a,2020,13737,2637,169052,0.283427409840826,,0-3,0.464867415648765,,,,,,,,,,NA
anf.27.3a46,2020,13966,2633,169054,,,,,,,,,,,,,,95%
ank.27.78abd,2020,13672,2626,195875,,,,,1,16,,,,,,,,95%
ank.27.8c9a,2020,13745,2627,169050,0.3,,,,1,,1.7,0.5,1,0.5,,,,95%
bli.27.5b67,2020,13564,2564,169062,54000,9,9-19,75037,0.12,,0.17,75037,,,0.12,,,Specify "Other" here
bll.27.22-32,2020,13692,2566,169064,,,,,,,,,,,,,,NA
bll.27.3a47de,2020,13472,2567,169065,,,,,,,,,,,,,,NA
bsf.27.nea,2020,13724,2545,169067,,,,,,,,,,,,,,95%
bss.27.4bc7ad-h,2020,13663,2619,169069,10313,0,4-15,14439,0.1713,,0.254,14439,0.1713,14439,0.1815,,,95%
bss.27.6a7bj,2020,13640,2559,169072,,,,,,,,,,,,,,NA
bss.27.8ab,2020,13866,2648,169070,11920,0,4-15,16688,0.123,,0.172,16688,,,0.123,,,95%
bwp.27.2729-32,2020,13341,2525,169099,,,,,,,,,,,,,,NA
bwq.27.2425,2020,13363,2551,169097,,,,,,,,,,,,,,NA
bwq.27.2628,2020,13689,2524,169098,,,,,,,,,,,,,,NA
cap.27.1-2,2020,13985,2570,169073,200000,1,,,,,,,,,,,,90%
cap.27.2a514,2020,14019,2571,169074,150000,0,,,,,,,,,,,,90%
cod.21.1,2020,13712,2618,169084,4346,1,4-8,5983,0.27,,,5983,,,,,,95%
cod.2127.1f14,2020,13705,2639,169089,10354,1,5-10,14803,0.46,,2.34,14803,,,1.33,,,95%
cod.27.1-2,2020,13411,2611,169079,220000,3,5-10,460000,0.4,,0.74,460000,0.4,920000,0.4,,,Specify "Other" here
cod.27.1-2coast,2020,13720,2574,169080,,2,4-7,,,,,,,60000,,,,na
cod.27.21,2020,13838,2603,169086,,,,,,,,,,,,,,95%
cod.27.22-24,2020,13377,2655,169075,14500,1,3-5,21876,0.26,,1.45,21876,,,0.99,,,95%
cod.27.24-32,2020,13734,2656,169076,102702,0,4-6,114723,,,,,,,,,,90%
cod.27.47d20,2020,13740,2572,169077,107000,1,2-4,150000,0.31,,0.54,150000,,,0.39,,,95%
cod.27.5b1,2020,14022,2641,169082,21000,1,3-7,29226.38,0.23,,0.9,29226.38,,,0.69,,,95%
cod.27.6b,2020,13626,2577,169087,,,,,,,,,,,,,,NA
cod.27.7a,2020,14026,2623,169085,,1,2-4,,,,,,,,,,,na
cod.27.7e-k,2020,14014,2573,169078,4200,1,2-5,5800,0.29,,1.13,5800,,,0.77,,,95%
dab.27.22-32,2020,13701,2580,169092,,,,,,,,,,,,,,NA
dgs.27.nea,2020,13967,2582,169094,,0,5-30,,,,,677068,,,,,,2*sd
ele.2737.nea,2020,14025,2590,169095,,,,,,,,,,,,,,NA
gfb.27.nea,2020,13450,2584,169102,,,,,,,,,,,,,,NA
ghl.27.561214,2020,13424,2586,169104,0.3,,,,1,,1.7,0.5,,,,,,other_Specify "Other" here
gug.27.3a47d,2020,13493,2587,169105,,,,,,,,,,,,,,95%
